Config, Topology, No. of Banks, Buffer Size, Compute Mode, BW Mode, Mapping, LayerID, Bank Id, DRAM IFMAP Cycles, DRAM IFMAP Reads, DRAM Filter Cycles, DRAM Filter Reads, DRAM OFMAP Cycles, DRAM OFMAP Writes, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test.cfg,test.csv,1,4,os,False,1,0.0,0,7.0,48.0,7.0,54.0,3.0,8.0,6.0,6.75,2.0
test.cfg,test.csv,4,1,os,False,1,0.0,0,1.0,12.0,1.0,14.0,0.0,2.0,6.0,7.0,2.0
test.cfg,test.csv,4,1,os,False,1,0.0,1,1.0,12.0,1.0,14.0,0.0,2.0,6.0,7.0,2.0
test.cfg,test.csv,4,1,os,False,1,0.0,2,1.0,12.0,1.0,13.0,0.0,2.0,6.0,6.5,2.0
test.cfg,test.csv,4,1,os,False,1,0.0,3,1.0,12.0,1.0,13.0,0.0,2.0,6.0,6.5,2.0
test.cfg,test.csv,4,1,os,False,2,0.0,0,2.0,28.0,1.0,15.0,1.0,3.0,9.333333333333334,7.5,1.5
test.cfg,test.csv,4,1,os,False,2,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
test.cfg,test.csv,4,1,os,False,2,0.0,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
test.cfg,test.csv,4,1,os,False,2,0.0,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
test.cfg,test.csv,4,1,os,False,3,0.0,0,1.0,13.0,1.0,15.0,1.0,3.0,6.5,7.5,1.5
test.cfg,test.csv,4,1,os,False,3,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
test.cfg,test.csv,4,1,os,False,3,0.0,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
test.cfg,test.csv,4,1,os,False,3,0.0,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
test.cfg,test.csv,4,1,os,False,4,0.0,0,1.0,13.0,1.0,15.0,1.0,3.0,6.5,7.5,1.5
test.cfg,test.csv,4,1,os,False,4,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
test.cfg,test.csv,4,1,os,False,4,0.0,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
test.cfg,test.csv,4,1,os,False,4,0.0,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
scale.cfg,conv_nets,1,64,os,False,1,0.0,0,982.0,9408.0,24442.0,663552.0,299.0,9600.0,9.570701932858595,27.146913226690668,32.0
scale.cfg,conv_nets,4,16,os,False,1,0.0,0,244.0,2352.0,21888.0,165888.0,74.0,2400.0,9.6,7.578601123852163,32.0
scale.cfg,conv_nets,4,16,os,False,1,0.0,1,244.0,2352.0,21887.0,165888.0,74.0,2400.0,9.6,7.578947368421052,32.0
scale.cfg,conv_nets,4,16,os,False,1,0.0,2,244.0,2352.0,21887.0,165888.0,74.0,2400.0,9.6,7.578947368421052,32.0
scale.cfg,conv_nets,4,16,os,False,1,0.0,3,244.0,2352.0,21886.0,165888.0,74.0,2400.0,9.6,7.579293644629232,32.0
scale.cfg,conv_nets,4,16,os,False,2,0.0,0,21728.0,193865.0,6049.0,165889.0,75.0,2401.0,8.92194762759446,27.419669421487605,31.592105263157897
scale.cfg,conv_nets,4,16,os,False,2,0.0,1,0.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0588235294117647,1.0
scale.cfg,conv_nets,4,16,os,False,2,0.0,2,0.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0588235294117647,1.0
scale.cfg,conv_nets,4,16,os,False,2,0.0,3,0.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0588235294117647,1.0
scale.cfg,conv_nets,4,16,os,False,3,0.0,0,244.0,2353.0,6081.0,165889.0,75.0,2401.0,9.60408163265306,27.2754028280171,31.592105263157897
scale.cfg,conv_nets,4,16,os,False,3,0.0,1,16.0,1.0,16.0,1.0,0.0,1.0,0.0588235294117647,0.0588235294117647,1.0
scale.cfg,conv_nets,4,16,os,False,3,0.0,2,16.0,1.0,16.0,1.0,0.0,1.0,0.0588235294117647,0.0588235294117647,1.0
scale.cfg,conv_nets,4,16,os,False,3,0.0,3,16.0,1.0,16.0,1.0,0.0,1.0,0.0588235294117647,0.0588235294117647,1.0
scale.cfg,conv_nets,4,16,os,False,4,0.0,0,244.0,2353.0,6049.0,165889.0,75.0,2401.0,9.60408163265306,27.419669421487605,31.592105263157897
scale.cfg,conv_nets,4,16,os,False,4,0.0,1,16.0,1.0,16.0,1.0,0.0,1.0,0.0588235294117647,0.0588235294117647,1.0
scale.cfg,conv_nets,4,16,os,False,4,0.0,2,16.0,1.0,16.0,1.0,0.0,1.0,0.0588235294117647,0.0588235294117647,1.0
scale.cfg,conv_nets,4,16,os,False,4,0.0,3,16.0,1.0,16.0,1.0,0.0,1.0,0.0588235294117647,0.0588235294117647,1.0
test.cfg,test.csv,1,4,os,True,1,0.0,0,10.0,110.0,5.0,60.0,0.0,8.0,10.0,10.0,8.0
test.cfg,test.csv,4,1,os,True,1,0.0,0,2.0,30.0,1.0,20.0,0.0,2.0,10.0,10.0,2.0
test.cfg,test.csv,4,1,os,True,1,0.0,1,2.0,30.0,1.0,20.0,0.0,2.0,10.0,10.0,2.0
test.cfg,test.csv,4,1,os,True,1,0.0,2,2.0,30.0,1.0,20.0,0.0,2.0,10.0,10.0,2.0
test.cfg,test.csv,4,1,os,True,1,0.0,3,2.0,30.0,1.0,20.0,0.0,2.0,10.0,10.0,2.0
test.cfg,test.csv,4,1,os,True,2,0.0,0,6.0,70.0,1.0,20.0,0.0,3.0,10.0,10.0,3.0
test.cfg,test.csv,4,1,os,True,2,0.0,1,0.0,10.0,0.0,10.0,0.0,1.0,10.0,10.0,1.0
test.cfg,test.csv,4,1,os,True,2,0.0,2,0.0,10.0,0.0,10.0,0.0,1.0,10.0,10.0,1.0
test.cfg,test.csv,4,1,os,True,2,0.0,3,0.0,10.0,0.0,10.0,0.0,1.0,10.0,10.0,1.0
test.cfg,test.csv,4,1,os,True,3,0.0,0,4.0,50.0,1.0,20.0,0.0,3.0,10.0,10.0,3.0
test.cfg,test.csv,4,1,os,True,3,0.0,1,0.0,10.0,0.0,10.0,0.0,1.0,10.0,10.0,1.0
test.cfg,test.csv,4,1,os,True,3,0.0,2,0.0,10.0,0.0,10.0,0.0,1.0,10.0,10.0,1.0
test.cfg,test.csv,4,1,os,True,3,0.0,3,0.0,10.0,0.0,10.0,0.0,1.0,10.0,10.0,1.0
test.cfg,test.csv,4,1,os,True,4,0.0,0,1.0,20.0,1.0,20.0,0.0,3.0,10.0,10.0,3.0
test.cfg,test.csv,4,1,os,True,4,0.0,1,0.0,10.0,0.0,10.0,0.0,1.0,10.0,10.0,1.0
test.cfg,test.csv,4,1,os,True,4,0.0,2,0.0,10.0,0.0,10.0,0.0,1.0,10.0,10.0,1.0
test.cfg,test.csv,4,1,os,True,4,0.0,3,0.0,10.0,0.0,10.0,0.0,1.0,10.0,10.0,1.0
scale.cfg,test.csv,1,64,os,True,1,0.0,0,3946.0,393600.0,6907.0,688800.0,95.0,9600.0,99.72130732201671,99.71048060220036,100.0
scale.cfg,test.csv,4,16,os,True,1,0.0,0,994.0,98400.0,1741.0,172200.0,23.0,2400.0,98.89447236180904,98.85189437428244,100.0
scale.cfg,test.csv,4,16,os,True,1,0.0,1,994.0,98400.0,1741.0,172200.0,23.0,2400.0,98.89447236180904,98.85189437428244,100.0
scale.cfg,test.csv,4,16,os,True,1,0.0,2,994.0,98400.0,1741.0,172200.0,23.0,2400.0,98.89447236180904,98.85189437428244,100.0
scale.cfg,test.csv,4,16,os,True,1,0.0,3,994.0,98400.0,1741.0,172200.0,23.0,2400.0,98.89447236180904,98.85189437428244,100.0
scale.cfg,test.csv,4,16,os,True,3,0.0,0,81.0,8200.0,1741.0,172200.0,24.0,2401.0,100.0,98.85189437428244,96.04
scale.cfg,test.csv,4,16,os,True,3,0.0,1,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,4,16,os,True,3,0.0,2,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,4,16,os,True,3,0.0,3,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,4,16,os,True,4,0.0,0,76.0,7700.0,1741.0,172200.0,24.0,2401.0,100.0,98.85189437428244,96.04
scale.cfg,test.csv,4,16,os,True,4,0.0,1,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,4,16,os,True,4,0.0,2,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,4,16,os,True,4,0.0,3,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,False,1,0.0,0,121.0,1176.0,21353.0,82944.0,37.0,1200.0,9.63934426229508,3.884237145265524,31.57894736842105
scale.cfg,test.csv,8,8,os,False,1,0.0,1,121.0,1176.0,21352.0,82944.0,37.0,1200.0,9.63934426229508,3.884419051187187,31.57894736842105
scale.cfg,test.csv,8,8,os,False,1,0.0,2,121.0,1176.0,21352.0,82944.0,37.0,1200.0,9.63934426229508,3.884419051187187,31.57894736842105
scale.cfg,test.csv,8,8,os,False,1,0.0,3,121.0,1176.0,21351.0,82944.0,37.0,1200.0,9.63934426229508,3.8846009741476206,31.57894736842105
scale.cfg,test.csv,8,8,os,False,1,0.0,4,121.0,1176.0,21351.0,82944.0,37.0,1200.0,9.63934426229508,3.8846009741476206,31.57894736842105
scale.cfg,test.csv,8,8,os,False,1,0.0,5,121.0,1176.0,21351.0,82944.0,37.0,1200.0,9.63934426229508,3.8846009741476206,31.57894736842105
scale.cfg,test.csv,8,8,os,False,1,0.0,6,121.0,1176.0,21350.0,82944.0,37.0,1200.0,9.63934426229508,3.88478291414922,31.57894736842105
scale.cfg,test.csv,8,8,os,False,1,0.0,7,121.0,1176.0,21350.0,82944.0,37.0,1200.0,9.63934426229508,3.88478291414922,31.57894736842105
scale.cfg,test.csv,8,8,os,False,2,0.0,0,21847.0,518400.0,3014.0,82945.0,37.0,1201.0,23.727572317832298,27.51077943615257,31.605263157894736
scale.cfg,test.csv,8,8,os,False,2,0.0,1,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,2,0.0,2,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,2,0.0,3,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,2,0.0,4,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,2,0.0,5,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,2,0.0,6,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,2,0.0,7,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,0,121.0,1177.0,3862.0,82945.0,37.0,1201.0,9.647540983606556,21.471654154801968,31.605263157894736
scale.cfg,test.csv,8,8,os,False,3,0.0,1,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,2,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,3,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,4,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,5,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,6,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,3,0.0,7,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,0,121.0,1177.0,3809.0,82945.0,37.0,1201.0,9.647540983606556,21.77034120734908,31.605263157894736
scale.cfg,test.csv,8,8,os,False,4,0.0,1,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,2,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,3,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,4,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,5,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,6,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,False,4,0.0,7,8.0,1.0,8.0,1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,1.0
scale.cfg,test.csv,8,8,os,True,1,0.0,0,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,1,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,2,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,3,964.0,94300.0,880.0,86100.0,11.0,1200.0,97.72020725388602,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,4,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,5,964.0,94300.0,880.0,86100.0,11.0,1200.0,97.72020725388602,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,6,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,1,0.0,7,502.0,49200.0,880.0,86100.0,11.0,1200.0,97.8131212723658,97.72985244040862,100.0
scale.cfg,test.csv,8,8,os,True,3,0.0,0,40.0,4100.0,880.0,86100.0,12.0,1201.0,100.0,97.72985244040862,92.3846153846154
scale.cfg,test.csv,8,8,os,True,3,0.0,1,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,2,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,3,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,4,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,5,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,6,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,3,0.0,7,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,0,27.0,2800.0,880.0,86100.0,12.0,1201.0,100.0,97.72985244040862,92.3846153846154
scale.cfg,test.csv,8,8,os,True,4,0.0,1,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,2,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,3,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,4,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,5,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,6,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
scale.cfg,test.csv,8,8,os,True,4,0.0,7,0.0,100.0,0.0,100.0,0.0,1.0,100.0,100.0,1.0
test.cfg,test.csv,1,4,ws,False,1,0.0,0,7.0,48.0,7.0,54.0,27.0,56.0,6.0,6.75,2.0
test.cfg,test.csv,4,1,ws,False,1,0.0,0,1.0,12.0,1.0,14.0,6.0,14.0,6.0,7.0,2.0
test.cfg,test.csv,4,1,ws,False,1,0.0,1,1.0,12.0,1.0,14.0,6.0,14.0,6.0,7.0,2.0
test.cfg,test.csv,4,1,ws,False,1,0.0,2,1.0,12.0,1.0,13.0,6.0,14.0,6.0,6.5,2.0
test.cfg,test.csv,4,1,ws,False,1,0.0,3,1.0,12.0,1.0,13.0,6.0,14.0,6.0,6.5,2.0
scale.cfg,test.csv,1,64,ws,False,1,0.0,0,982.0,9408.0,79337.0,663552.0,73080.0,518431.0,9.570701932858595,8.363608863344172,7.093923181127789
scale.cfg,test.csv,4,16,ws,False,1,0.0,0,244.0,2352.0,76522.0,165888.0,72450.0,129631.0,9.6,2.167818825712531,1.7892230611033664
scale.cfg,test.csv,4,16,ws,False,1,0.0,1,244.0,2352.0,76522.0,165888.0,72450.0,129631.0,9.6,2.167818825712531,1.7892230611033664
scale.cfg,test.csv,4,16,ws,False,1,0.0,2,244.0,2352.0,76522.0,165888.0,72450.0,129631.0,9.6,2.167818825712531,1.7892230611033664
scale.cfg,test.csv,4,16,ws,False,1,0.0,3,244.0,2352.0,76522.0,165888.0,72450.0,129631.0,9.6,2.167818825712531,1.7892230611033664
scale.cfg,test.csv,1,64,is,False,1,0.0,0,982.0,9408.0,28742.0,663552.0,24984.0,518431.0,9.570701932858595,23.08569042897401,20.749689813888335
scale.cfg,test.csv,4,16,is,False,1,0.0,0,244.0,2352.0,26188.0,165888.0,24354.0,129631.0,9.6,6.334262476612318,5.322562102237733
scale.cfg,test.csv,4,16,is,False,1,0.0,1,244.0,2352.0,26187.0,165888.0,24354.0,129631.0,9.6,6.3345043531388425,5.322562102237733
scale.cfg,test.csv,4,16,is,False,1,0.0,2,244.0,2352.0,26187.0,165888.0,24354.0,129631.0,9.6,6.3345043531388425,5.322562102237733
scale.cfg,test.csv,4,16,is,False,1,0.0,3,244.0,2352.0,26186.0,165888.0,24354.0,129631.0,9.6,6.334746248138389,5.322562102237733
scale.cfg,test.csv,1,64,ws,False,2,0.0,0,982.0,9408.0,79337.0,663552.0,73080.0,518431.0,9.570701932858595,8.363608863344172,7.093923181127789
scale.cfg,test.csv,1,64,ws,False,3,0.0,0,982.0,9408.0,79337.0,663552.0,73080.0,518431.0,9.570701932858595,8.363608863344172,7.093923181127789
scale.cfg,test.csv,4,16,ws,False,3,0.0,0,244.0,2353.0,19861.0,165889.0,72220.0,129685.0,9.60408163265306,8.352079347497734,1.7956688497805346
scale.cfg,test.csv,4,16,ws,False,3,0.0,1,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,ws,False,3,0.0,2,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,ws,False,3,0.0,3,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,1,64,is,False,3,0.0,0,982.0,9408.0,28742.0,663552.0,24984.0,518431.0,9.570701932858595,23.08569042897401,20.749689813888335
scale.cfg,test.csv,4,16,is,False,3,0.0,0,244.0,2353.0,26168.0,165889.0,24340.0,129685.0,9.60408163265306,6.3391417325843555,5.327841912821987
scale.cfg,test.csv,4,16,is,False,3,0.0,1,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,is,False,3,0.0,2,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,is,False,3,0.0,3,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,1,64,ws,False,4,0.0,0,982.0,9408.0,79337.0,663552.0,73080.0,518431.0,9.570701932858595,8.363608863344172,7.093923181127789
scale.cfg,test.csv,4,16,ws,False,4,0.0,0,244.0,2353.0,19742.0,165889.0,72955.0,129685.0,9.60408163265306,8.402421111279947,1.777578266352322
scale.cfg,test.csv,4,16,ws,False,4,0.0,1,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,ws,False,4,0.0,2,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,ws,False,4,0.0,3,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,1,64,is,False,4,0.0,0,982.0,9408.0,28742.0,663552.0,24984.0,518431.0,9.570701932858595,23.08569042897401,20.749689813888335
scale.cfg,test.csv,4,16,is,False,4,0.0,0,244.0,2353.0,26168.0,165889.0,24375.0,129685.0,9.60408163265306,6.3391417325843555,5.3201919921234
scale.cfg,test.csv,4,16,is,False,4,0.0,1,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,is,False,4,0.0,2,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
scale.cfg,test.csv,4,16,is,False,4,0.0,3,16.0,1.0,16.0,1.0,1.0,54.0,0.0588235294117647,0.0588235294117647,27.0
